estacion;latitud;altitud;a�o;mes;dia;precipitacion
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;14;0.1
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;15;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;16;0.8
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;17;18.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;18;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;19;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;20;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;21;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;22;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;23;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;24;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;25;0.2
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;26;2.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;27;3.1
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;28;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;29;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;1;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;2;6.8
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;3;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;4;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;5;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;6;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;7;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;8;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;9;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;10;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;11;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;12;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;13;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;14;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;15;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;16;19.3
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;17;17.3
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;18;4.5
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;19;6.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;20;3.3
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;21;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;22;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;23;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;24;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;25;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;26;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;27;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;2;28;23.4
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;1;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;2;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;3;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;4;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;5;0.0
